SKU;Quantidade;ID_Loja;Data da Venda;ID_FormaPagamento;ID_Cliente
HL1067;3;3;01/01/2019;5;128
HL1241;2;6;01/01/2019;5;326
HL1001;2;9;01/01/2019;3;425
HL1168;1;5;01/01/2019;3;211
HL1254;2;17;01/01/2019;2;540
HL1062;1;15;01/01/2019;5;338
HL1095;1;8;01/01/2019;5;419
HL1234;1;12;01/01/2019;1;357
HL1253;3;15;01/01/2019;3;742
HL1299;2;1;01/01/2019;3;168
HL1045;3;7;01/01/2019;5;525
HL1128;3;4;01/01/2019;4;698
HL1147;3;7;01/01/2019;1;442
HL1188;2;3;01/01/2019;2;590
HL1205;3;2;01/01/2019;5;235
HL1069;2;3;01/01/2019;3;817
HL1263;3;1;01/01/2019;4;754
HL1182;3;13;01/01/2019;4;609
HL1036;1;6;01/01/2019;2;546
HL1167;3;7;01/01/2019;5;101
HL1105;2;1;01/01/2019;4;144
HL1130;1;10;01/01/2019;1;761
HL1083;1;16;01/01/2019;2;234
HL1176;2;17;01/01/2019;5;248
HL1281;1;10;01/01/2019;1;671
HL1162;3;1;01/01/2019;3;326
HL1093;3;10;01/01/2019;2;292
HL1006;2;13;01/01/2019;1;594
HL1024;3;4;01/01/2019;2;332
HL1110;1;3;01/01/2019;3;63
HL1259;3;4;01/01/2019;5;468
HL1019;1;4;01/01/2019;4;304
HL1253;1;2;01/01/2019;5;297
HL1279;3;15;01/01/2019;3;312
HL1303;2;17;01/01/2019;2;507
HL1248;3;5;01/01/2019;3;103
HL1128;3;9;01/01/2019;1;361
HL1150;3;9;01/01/2019;2;646
HL1221;2;17;01/01/2019;4;580
HL1307;3;7;01/01/2019;1;516
HL1129;1;14;01/01/2019;3;648
HL1071;3;11;01/01/2019;3;509
HL1079;1;3;01/01/2019;1;611
HL1149;3;6;01/01/2019;1;389
HL1228;1;9;01/01/2019;3;306
HL1212;1;11;01/01/2019;4;380
HL1137;2;5;01/01/2019;5;468
HL1107;2;7;01/01/2019;3;488
HL1213;2;13;01/01/2019;3;443
HL1091;3;3;01/01/2019;4;77
HL1160;3;2;01/01/2019;5;372
HL1267;2;7;01/01/2019;1;203
HL1060;1;4;02/01/2019;5;157
HL1118;2;1;02/01/2019;5;272
HL1140;1;12;02/01/2019;1;244
HL1205;1;10;02/01/2019;3;326
HL1010;2;9;02/01/2019;2;312
HL1216;2;16;02/01/2019;3;188
HL1228;3;17;02/01/2019;2;191
HL1105;1;11;02/01/2019;1;466
HL1203;2;16;02/01/2019;5;419
HL1210;3;6;02/01/2019;5;161
HL1134;2;3;02/01/2019;2;683
HL1027;2;11;02/01/2019;2;338
HL1058;3;12;02/01/2019;1;434
HL1226;3;16;02/01/2019;1;313
HL1128;1;8;02/01/2019;4;25
HL1152;3;9;02/01/2019;5;341
HL1044;1;14;02/01/2019;2;41
HL1137;3;13;02/01/2019;4;612
HL1194;3;15;02/01/2019;4;590
HL1050;3;13;02/01/2019;2;652
HL1157;3;8;02/01/2019;3;123
HL1173;3;2;02/01/2019;1;51
HL1144;2;12;02/01/2019;3;527
HL1267;2;5;02/01/2019;5;353
HL1306;1;7;02/01/2019;1;619
HL1224;2;2;02/01/2019;5;472
HL1131;3;16;02/01/2019;2;191
HL1137;1;5;02/01/2019;5;31
