SKU;Quantidade;ID_Loja;Data da Venda;ID_FormaPagamento;ID_Cliente
HL1010;5;15;01/01/2018;3;97
HL1095;2;8;01/01/2018;4;546
HL1278;1;3;01/01/2018;4;496
HL1200;1;2;01/01/2018;1;663
HL1026;5;10;01/01/2018;3;288
HL1058;5;9;01/01/2018;1;172
HL1199;5;12;01/01/2018;5;124
HL1279;4;17;01/01/2018;5;57
HL1179;2;14;01/01/2018;3;83
HL1150;3;6;01/01/2018;5;158
HL1100;2;1;01/01/2018;1;189
HL1085;4;7;01/01/2018;1;525
HL1247;1;5;01/01/2018;3;415
HL1026;4;6;01/01/2018;5;562
HL1100;5;9;01/01/2018;2;166
HL1109;5;8;01/01/2018;5;454
HL1126;5;15;01/01/2018;1;365
HL1269;4;17;01/01/2018;5;263
HL1226;4;10;01/01/2018;5;479
HL1071;3;8;01/01/2018;1;334
HL1270;5;8;01/01/2018;1;807
HL1111;3;4;01/01/2018;1;144
HL1125;4;3;01/01/2018;4;38
HL1094;5;4;01/01/2018;3;397
HL1100;2;8;01/01/2018;2;324
HL1275;4;6;01/01/2018;2;458
HL1017;3;4;01/01/2018;5;500
HL1052;2;16;01/01/2018;3;607
HL1103;1;17;01/01/2018;2;230
HL1277;3;7;01/01/2018;4;606
HL1229;1;7;01/01/2018;4;325
HL1017;5;12;01/01/2018;3;294
HL1266;3;7;01/01/2018;4;374
HL1268;4;15;01/01/2018;5;699
HL1041;4;4;01/01/2018;3;251
HL1310;1;6;01/01/2018;5;434
HL1090;4;15;01/01/2018;3;75
HL1059;3;10;01/01/2018;2;431
HL1199;2;13;01/01/2018;1;98
HL1031;4;2;01/01/2018;1;203
HL1295;3;1;01/01/2018;5;460
HL1025;2;16;01/01/2018;2;438
HL1279;4;2;02/01/2018;5;166
HL1131;4;5;02/01/2018;2;306
HL1254;1;6;02/01/2018;4;83
HL1040;1;17;02/01/2018;5;681
HL1064;4;7;02/01/2018;3;101
HL1020;5;14;02/01/2018;1;362
HL1220;3;15;02/01/2018;3;581
HL1139;1;13;02/01/2018;2;436
HL1168;2;10;02/01/2018;1;593
HL1160;5;7;02/01/2018;1;447
HL1108;5;9;02/01/2018;5;229
HL1212;5;15;02/01/2018;2;443
HL1186;2;7;02/01/2018;2;494
HL1097;3;13;02/01/2018;4;437
HL1022;5;11;02/01/2018;5;74
HL1051;3;14;02/01/2018;1;781
HL1162;3;15;02/01/2018;4;571
HL1230;3;5;02/01/2018;4;218
HL1025;5;5;02/01/2018;5;101
HL1043;2;13;02/01/2018;2;802
HL1157;3;13;02/01/2018;2;593
HL1230;4;11;02/01/2018;5;458
HL1218;3;4;02/01/2018;2;789
HL1301;2;11;02/01/2018;5;534
HL1023;1;6;02/01/2018;2;74
HL1265;1;3;02/01/2018;4;302
HL1140;3;14;02/01/2018;1;742
HL1239;5;7;02/01/2018;3;124
HL1218;1;4;02/01/2018;3;638
HL1009;1;2;03/01/2018;2;21
HL1208;1;3;03/01/2018;5;29
HL1274;5;7;03/01/2018;2;433
HL1218;5;5;03/01/2018;2;595
HL1177;4;7;03/01/2018;2;815
HL1280;1;13;03/01/2018;1;762
HL1005;3;15;03/01/2018;3;541
HL1277;3;9;03/01/2018;5;147
HL1019;4;8;03/01/2018;2;547
HL1138;1;1;03/01/2018;2;519
HL1193;1;6;03/01/2018;3;705
HL1268;5;17;03/01/2018;5;265
HL1263;1;9;03/01/2018;1;453
HL1017;3;15;03/01/2018;3;262
HL1277;2;11;03/01/2018;5;105
HL1189;2;5;03/01/2018;5;132
HL1039;3;4;03/01/2018;3;20
HL1157;4;16;03/01/2018;1;690
HL1073;5;14;03/01/2018;4;780
HL1110;1;4;03/01/2018;2;674
HL1287;2;14;03/01/2018;5;567
HL1047;4;7;03/01/2018;5;347
HL1070;2;16;03/01/2018;1;34
HL1119;4;14;03/01/2018;3;592
HL1166;4;16;03/01/2018;2;102
HL1057;4;10;03/01/2018;4;518
HL1288;1;7;03/01/2018;3;221
HL1043;5;13;03/01/2018;1;694
HL1210;5;8;03/01/2018;2;787
HL1286;4;11;03/01/2018;1;296
HL1294;4;17;03/01/2018;4;494
HL1107;5;10;04/01/2018;1;635
HL1309;3;7;04/01/2018;3;20
HL1290;3;12;04/01/2018;1;636
HL1148;5;13;04/01/2018;4;211
HL1212;2;4;04/01/2018;2;549
HL1023;1;3;04/01/2018;4;374
HL1280;4;11;04/01/2018;3;264
HL1230;5;4;04/01/2018;4;708
HL1041;2;12;04/01/2018;5;501
HL1107;2;5;04/01/2018;1;763
HL1213;4;17;04/01/2018;5;458
HL1222;1;5;04/01/2018;3;61
HL1083;3;13;04/01/2018;4;184
HL1081;2;13;04/01/2018;1;549
HL1190;1;8;04/01/2018;4;129
HL1159;1;3;04/01/2018;3;497
HL1283;5;10;04/01/2018;5;532
HL1188;2;16;04/01/2018;3;199
HL1182;1;2;04/01/2018;5;28
HL1163;5;9;04/01/2018;5;158
HL1043;5;7;04/01/2018;4;167
HL1073;2;6;04/01/2018;5;597
HL1260;5;7;04/01/2018;4;110
HL1272;1;11;04/01/2018;3;45
HL1297;5;13;04/01/2018;5;279
HL1268;5;9;04/01/2018;3;790
HL1246;1;3;04/01/2018;1;379
HL1204;2;13;04/01/2018;1;596
HL1188;1;11;04/01/2018;3;657
HL1033;4;9;04/01/2018;4;560
HL1263;4;16;04/01/2018;3;740
HL1216;3;10;04/01/2018;4;25
HL1182;4;2;05/01/2018;3;748
HL1167;5;14;05/01/2018;1;785
HL1154;4;16;05/01/2018;1;653
HL1002;3;9;05/01/2018;2;438
HL1096;2;4;05/01/2018;2;292
HL1217;2;2;05/01/2018;4;427
HL1100;5;17;05/01/2018;5;42
HL1133;4;17;05/01/2018;5;62
HL1176;2;5;05/01/2018;1;390
HL1243;3;13;05/01/2018;5;548
HL1257;1;4;05/01/2018;3;381
HL1234;5;3;05/01/2018;5;84
HL1195;1;3;05/01/2018;3;458
HL1022;5;3;05/01/2018;4;373
HL1312;1;17;05/01/2018;3;641
HL1266;5;17;05/01/2018;3;421
HL1048;2;11;05/01/2018;1;276
HL1061;1;10;05/01/2018;3;185
HL1078;2;3;05/01/2018;2;220
HL1064;3;12;05/01/2018;3;515
HL1178;2;6;05/01/2018;2;590
HL1122;3;12;05/01/2018;4;545
HL1108;5;16;05/01/2018;1;391
HL1054;3;15;05/01/2018;4;445
HL1172;2;13;05/01/2018;5;457
HL1288;4;8;05/01/2018;4;721
HL1234;5;15;05/01/2018;1;771
HL1197;2;2;06/01/2018;4;814
HL1116;5;3;06/01/2018;3;455
HL1269;1;2;06/01/2018;2;445
HL1260;1;3;06/01/2018;3;290
HL1145;4;9;06/01/2018;2;310
HL1278;5;6;06/01/2018;1;653
HL1177;4;3;06/01/2018;2;359
HL1086;4;8;06/01/2018;3;82
HL1049;2;17;06/01/2018;1;161
HL1295;2;16;06/01/2018;2;288
HL1174;5;13;06/01/2018;2;386
HL1156;1;12;06/01/2018;1;505
HL1001;1;10;06/01/2018;2;650
HL1108;5;15;06/01/2018;2;88
HL1004;1;16;06/01/2018;4;602
HL1060;1;8;06/01/2018;1;609
HL1227;4;4;06/01/2018;2;107
HL1053;4;1;06/01/2018;4;196
HL1067;1;13;06/01/2018;4;314
HL1262;5;10;06/01/2018;1;781
HL1135;3;9;06/01/2018;3;448
HL1207;1;13;06/01/2018;4;568
HL1265;4;8;06/01/2018;2;657
HL1195;3;5;06/01/2018;4;93
HL1188;3;10;06/01/2018;5;181
HL1153;1;14;06/01/2018;4;433
HL1012;1;2;06/01/2018;4;402
HL1019;4;3;06/01/2018;5;244
HL1047;3;1;06/01/2018;5;99
HL1226;3;8;06/01/2018;2;289
HL1181;3;11;06/01/2018;1;224
HL1066;4;2;06/01/2018;1;263
HL1055;1;5;07/01/2018;3;534
HL1194;4;11;07/01/2018;5;362
HL1077;3;1;07/01/2018;2;259
HL1255;5;15;07/01/2018;3;812
HL1270;3;16;07/01/2018;3;452
HL1254;4;6;07/01/2018;2;384
HL1282;5;11;07/01/2018;2;534
HL1073;4;1;07/01/2018;4;526
HL1263;3;1;07/01/2018;4;627
HL1007;1;5;07/01/2018;2;32
HL1223;1;17;07/01/2018;5;248
HL1159;5;5;07/01/2018;4;656
HL1081;1;2;07/01/2018;2;723
HL1018;4;11;07/01/2018;1;67
HL1258;4;11;07/01/2018;1;47
HL1246;3;14;07/01/2018;4;54
HL1047;3;4;07/01/2018;2;70
HL1295;3;12;07/01/2018;2;184
HL1247;2;6;07/01/2018;2;496
HL1124;3;3;07/01/2018;1;238
HL1290;3;11;07/01/2018;5;621
HL1019;4;6;07/01/2018;3;157
HL1287;4;14;07/01/2018;2;802
HL1220;2;15;07/01/2018;4;126
HL1081;3;16;07/01/2018;4;183
HL1155;5;3;07/01/2018;1;650
HL1197;1;1;07/01/2018;5;632
